latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.4636,65.8868,304.3,1.1,1.1,2022-01-28,0630,Terra,MODIS,58,6.03,288.4,4.9,D,0
34.2159,62.2085,300.8,1,1,2022-02-04,0635,Terra,MODIS,16,6.03,282.4,3.9,D,0
34.2054,62.2174,300.8,1,1,2022-02-04,0635,Terra,MODIS,28,6.03,282,3.5,D,2
37.4357,69.3836,308.7,2.1,1.4,2022-02-05,0903,Aqua,MODIS,68,6.03,289.4,23.3,D,0
37.311,68.9778,307.4,1,1,2022-02-09,0839,Aqua,MODIS,65,6.03,288.3,8,D,0
33.6787,70.0965,305.7,1.2,1.1,2022-02-15,0616,Terra,MODIS,49,6.03,291.3,5.8,D,0
33.669,70.0944,308.2,1.2,1.1,2022-02-15,0616,Terra,MODIS,63,6.03,292.2,7.8,D,0
36.7419,68.9278,309.7,1.6,1.2,2022-02-20,0634,Terra,MODIS,64,6.03,288.1,18.5,D,0
34.7157,70.7076,306.9,1.2,1.1,2022-02-20,0819,Aqua,MODIS,55,6.03,290.1,8.2,D,0
37.2638,69.0254,311.4,1.3,1.1,2022-02-20,0820,Aqua,MODIS,66,6.03,292,11.9,D,0
34.5582,69.4795,302.2,1.1,1,2022-02-26,0557,Terra,MODIS,26,6.03,286,4.3,D,0
34.9787,71.3883,300.5,1.3,1.1,2022-03-19,0615,Terra,MODIS,28,6.03,285.5,5.3,D,0
37.2783,67.1148,313.8,2.3,1.5,2022-03-29,0651,Terra,MODIS,71,6.03,283.6,29.6,D,0
37.2728,67.14,311.6,2.3,1.5,2022-03-29,0651,Terra,MODIS,64,6.03,284.8,24.4,D,0
37.283,67.1113,343.9,1,1,2022-03-29,0836,Aqua,MODIS,92,6.03,292,48.6,D,0
37.4304,69.3913,317.8,1.7,1.3,2022-04-09,0632,Terra,MODIS,26,6.03,299.3,15.5,D,0
37.4321,69.3853,323.8,1.7,1.3,2022-04-09,0632,Terra,MODIS,73,6.03,298.8,30.4,D,0
33.1018,69.8336,320.6,1,1,2022-04-22,0602,Terra,MODIS,41,6.03,302.9,7.8,D,0
34.5503,69.2954,319.6,1.1,1,2022-05-06,0614,Terra,MODIS,27,6.03,304.1,7.1,D,0
34.5488,69.2465,321.9,1.1,1,2022-05-06,0614,Terra,MODIS,40,6.03,305.3,9.2,D,0
34.7598,69.2562,328.4,1.2,1.1,2022-05-09,0825,Aqua,MODIS,58,6.03,310.8,12,D,0
35.0209,70.244,326.9,1.2,1.1,2022-05-26,0548,Terra,MODIS,71,6.03,306,18.3,D,0
36.0107,68.594,319.8,1.1,1.1,2022-05-29,0619,Terra,MODIS,61,6.03,302.8,8.7,D,0
35.0237,70.2374,303.4,1,1,2022-05-29,1721,Terra,MODIS,55,6.03,287.7,7.6,N,0
37.2381,69.012,326.2,1,1,2022-05-31,0606,Terra,MODIS,41,6.03,309.5,10.8,D,0
34.5564,71.0377,307.5,1,1,2022-06-09,2118,Aqua,MODIS,72,6.03,291.5,7.4,N,0
35.7402,63.157,363.5,1.2,1.1,2022-06-10,0643,Terra,MODIS,100,6.03,316.3,98.7,D,0
33.4736,69.7195,302.5,1.3,1.1,2022-06-12,1732,Terra,MODIS,49,6.03,288.1,8,N,0
33.4726,69.7273,326.1,1,1,2022-06-16,0606,Terra,MODIS,43,6.03,310.3,10.7,D,0
30.2525,62.5465,337.6,1,1,2022-07-27,0905,Aqua,MODIS,62,6.03,307.3,24.7,D,0
33.7977,67.7072,350.3,1.1,1,2022-07-29,0853,Aqua,MODIS,93,6.03,315.7,44.8,D,0
34.4081,61.7331,324.8,1.6,1.2,2022-09-12,0653,Terra,MODIS,70,6.03,302.3,27.9,D,0
34.483,64.3024,326.1,1.2,1.1,2022-09-18,0911,Aqua,MODIS,55,6.03,310.3,11,D,0
35.477,70.5267,307.6,1,1,2022-09-29,0556,Terra,MODIS,40,6.03,292.7,7.3,D,0
34.4741,68.6917,302,1.2,1.1,2022-11-05,0856,Aqua,MODIS,0,6.03,284.3,5.5,D,0
33.5826,70.1607,304.3,1.4,1.2,2022-11-18,0821,Aqua,MODIS,58,6.03,286,9.7,D,0
31.4575,65.8737,309,1.1,1,2022-11-21,0850,Aqua,MODIS,51,6.03,294.4,6.3,D,0
34.6577,70.7262,307.3,2.3,1.5,2022-11-26,0520,Terra,MODIS,58,6.03,295.5,15.3,D,0
33.5999,70.0042,320.9,1.1,1,2022-11-27,0602,Terra,MODIS,80,6.03,293.2,18.9,D,0
34.2162,62.2149,303.4,1.4,1.2,2022-11-28,0643,Terra,MODIS,21,6.03,290.1,4.2,D,0
33.6129,69.9773,315,1,1,2022-12-16,0835,Aqua,MODIS,75,6.03,292.8,11.9,D,0
34.205,62.2156,300.8,1,1,2022-12-19,0624,Terra,MODIS,38,6.03,280.1,5.2,D,2
32.8963,63.0549,300.6,3,1.7,2022-12-27,0659,Terra,MODIS,19,6.03,284.3,12.7,D,0
34.2104,62.2135,301.3,1.4,1.2,2022-12-29,0643,Terra,MODIS,14,6.03,279.6,9.2,D,0
